GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Tres,Dem_2020_Tres,Rep_2020_Tres,Total_2020_SoS,Dem_2020_SoS,Rep_2020_SoS,Total_2020_LtG,Dem_2020_LtG,Rep_2020_LtG,Total_2020_Gov,Dem_2020_Gov,Rep_2020_Gov,Total_2020_AG,Dem_2020_AG,Rep_2020_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Aud,Dem_2020_Aud,Rep_2020_Aud,Total_2016_LtG,Dem_2016_LtG,Rep_2016_LtG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Gov,Dem_2016_Gov,Rep_2016_Gov,Total_2016_AG,Dem_2016_AG,Rep_2016_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2014_Sen,Dem_2014_Sen,Rep_2014_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
370210001.1,11,370210001.1,1651,1390,215,1714,1429,285,1719,1497,222,1731,1493,238,1735,1491,209,1729,1496,233,1761,1519,211,1740,1444,226,1725,1504,221,1454,1193,185,1470,1194,207,1474,1244,177,1443,1236,207,1494,1213,187,875,757,83,2459,1718,54,595,49,32,0,571,42,23,8,0,2815,1783,79,842,61,60,0,0,0,2453,1690,51,587,51,65,0,0,0,0,0,0,2734,1764,75,750,71,77,20,724,57,15,0,0,103,2310,1461,75,728,32,22,8,0,0,2124,1390,66,637,27,19,3,0,0,2752,2056,116,464,29,5,0,14,68,2982,2159,139,578,50,54,4,2752,2056,116,496,38,46,4
370210053.1,11,370210053.1,2488,847,1587,2577,874,1703,2588,939,1649,2616,901,1715,2652,992,1620,2597,952,1645,2659,899,1728,2632,884,1642,2577,937,1640,2137,703,1367,2181,688,1426,2181,796,1332,2111,777,1334,2202,651,1465,1294,500,744,3418,3141,116,130,2,0,17,90,2,0,9,0,4463,3901,276,253,4,3,24,0,0,3342,3045,144,168,5,3,0,0,0,0,0,0,4188,3419,300,327,2,8,7,146,0,0,0,0,320,4056,3808,132,60,11,46,3,0,0,3129,2976,68,40,10,36,3,0,0,3568,3211,159,53,13,3,2,19,108,4491,3954,248,118,38,106,8,3568,3211,159,75,25,75,5
370210068.1,11,370210068.1,3617,1522,1998,3723,1577,2146,3733,1673,2060,3775,1616,2159,3833,1762,1997,3747,1661,2086,3863,1639,2169,3798,1578,2057,3736,1667,2069,3161,1264,1750,3219,1272,1802,3252,1460,1684,3147,1415,1732,3283,1239,1881,1770,718,967,5430,4914,312,85,41,35,48,46,34,3,1,0,7130,6050,682,171,106,71,48,0,0,5586,4953,269,168,14,28,35,0,0,0,0,0,7325,6272,649,256,49,48,37,148,47,23,36,0,147,6334,5431,583,170,62,84,9,0,0,4821,4288,331,95,41,59,7,0,0,5903,4738,666,182,49,19,14,16,219,7502,5782,1028,379,127,175,26,5903,4738,666,264,84,144,18
370210022.2,11,370210022.2,2005,1558,412,2023,1538,485,2027,1622,405,2051,1615,436,2072,1684,366,2044,1630,414,2084,1638,415,2067,1592,437,2023,1623,400,1847,1357,432,1880,1395,443,1890,1453,406,1832,1412,420,1900,1408,410,1419,1003,377,2046,1902,39,70,12,0,4,70,12,0,12,0,2459,2245,59,109,31,0,28,0,0,2277,2131,38,50,9,0,4,0,0,0,0,0,2606,2385,63,107,38,0,32,93,21,0,8,0,38,2249,2126,45,42,25,12,1,0,0,1950,1867,29,29,19,9,1,0,0,2273,2107,64,20,12,2,2,3,63,2640,2414,84,46,34,26,4,2273,2107,64,33,15,25,4
370210058.1,11,370210058.1,1705,890,775,1796,916,880,1807,998,809,1828,963,865,1848,1026,790,1813,987,826,1861,988,846,1844,960,810,1804,997,807,1409,694,673,1441,697,684,1438,755,647,1399,729,670,1447,677,700,980,480,473,2149,2037,54,20,26,7,0,20,13,0,0,0,2646,2365,182,32,30,8,0,0,0,2253,2108,52,44,10,32,0,0,0,0,0,0,2746,2507,133,48,17,37,0,29,12,0,0,0,59,2364,2155,128,32,17,24,9,0,0,1863,1736,73,25,11,16,4,0,0,2422,2150,124,23,17,5,0,15,88,2908,2511,197,49,59,60,2,2422,2150,124,37,36,48,1
370210059.1,11,370210059.1,3168,1636,1458,3279,1685,1594,3302,1829,1473,3332,1767,1565,3373,1880,1443,3321,1822,1499,3380,1793,1544,3359,1728,1503,3295,1811,1484,2769,1330,1358,2809,1338,1389,2815,1465,1285,2750,1416,1334,2813,1272,1391,1860,910,886,3881,3659,29,101,22,88,0,61,4,0,0,0,4894,4472,103,129,27,175,14,0,0,3905,3613,23,118,51,95,0,0,0,0,0,0,4914,4473,76,144,51,192,9,64,5,0,9,0,291,4208,3971,68,60,46,71,4,0,0,3404,3257,40,31,25,52,2,0,0,4014,3646,113,45,22,26,2,20,140,4812,4346,144,93,46,147,9,4014,3646,113,71,34,119,6
37191000004,13,37191000004,3287,866,2356,3409,947,2462,3435,1059,2376,3450,924,2526,3498,1005,2448,3443,990,2453,3507,934,2522,3471,916,2406,3419,1028,2391,2863,669,2142,2895,662,2151,2916,720,2159,2854,786,2068,2927,677,2168,1894,461,1366,4896,3724,229,872,42,27,0,869,10,11,6,0,6895,4902,661,1300,52,25,0,0,0,5415,3973,342,977,85,27,0,0,0,0,0,0,7077,4960,737,1332,79,32,0,1180,37,8,0,0,161,6241,4905,262,939,116,50,11,0,0,4506,3614,165,630,73,32,9,0,0,4992,3723,277,740,51,9,2,11,179,6559,4789,436,1126,154,125,11,4992,3723,277,818,112,93,10
37191000026,13,37191000026,1635,917,689,1631,901,730,1649,975,674,1665,939,726,1686,986,684,1653,954,699,1692,941,741,1672,917,681,1645,977,668,1527,842,650,1551,850,654,1547,867,657,1519,899,620,1559,857,663,1015,569,419,2343,1221,198,880,14,13,0,876,10,9,20,0,3961,1466,1227,1191,14,22,20,0,0,2590,1035,192,1395,46,11,0,0,0,0,0,0,4290,1254,1167,1781,28,28,18,1768,9,17,0,18,53,4465,1712,983,1737,58,49,12,0,0,3264,1386,562,1273,36,34,1,0,0,3085,1207,652,1096,20,7,4,3,96,4017,1436,1054,1447,36,92,6,3085,1207,652,1150,31,60,6
37191002530,13,37191002530,2509,1299,1175,2461,1250,1211,2484,1374,1110,2494,1276,1218,2538,1366,1147,2492,1319,1173,2551,1307,1223,2513,1241,1166,2475,1361,1114,2447,1259,1154,2476,1269,1161,2496,1312,1170,2433,1351,1082,2524,1310,1168,1745,877,812,4643,2607,130,1770,14,20,0,1752,10,18,112,0,6350,2967,626,2699,437,20,47,0,0,4964,2795,85,1980,8,4,0,0,0,0,0,0,6616,3285,479,2822,349,2,45,2413,4,0,0,36,398,6198,2921,573,2661,34,65,8,0,0,4906,2490,362,2026,28,48,7,0,0,4645,2172,499,1834,11,17,0,14,98,5830,2535,769,2456,42,108,7,4645,2172,499,1918,21,89,7
37191000028,3,37191000028,2271,956,1278,2321,948,1373,2345,1033,1312,2345,968,1377,2375,1053,1294,2346,1010,1336,2390,992,1369,2366,971,1281,2337,1042,1295,2061,836,1193,2081,831,1207,2089,840,1227,2034,892,1142,2113,870,1202,1214,459,716,3728,1998,562,1127,28,18,0,1127,12,15,0,0,7181,2499,2791,1819,39,24,0,0,0,3855,2111,406,1277,4,0,0,0,0,0,0,0,7505,2416,2575,2392,70,4,0,2103,55,1,0,29,326,7582,3138,2566,1835,52,90,11,0,0,5325,2515,1519,1246,40,60,10,0,0,4866,2170,1607,954,16,7,4,16,92,6744,2575,2634,1410,49,211,8,4866,2170,1607,999,33,143,7
